	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
breast	0.32404619851214744	0.013196635363661153	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
breast.carcinoma.ductal_carcinoma	0.28695498820886745	0.015448924529867058	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
endometrium	0.22948152239705386	0.009953809754581546	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
endometrium.carcinoma.adenocarcinoma	0.2243187859536857	0.009439696921121597	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
ovary	0.22151371335956274	0.011040839587340971	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
carcinoma	0.18069492376933802	0.013499826098997263	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
breast.carcinoma.NS	0.16700775933468429	0.022916679110405905	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
ovary.carcinoma.adenocarcinoma	0.15847203189460807	0.013534472424750208	0.00015384615384615385	1.0	0.00015384615384615385	0.0025	1.0	0.0025
bone.Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour.NS	0.14605231842794497	0.015591830239385082	0.000461538461538	0.999538461538	0.000461538461538	0.006	1.0	0.006
Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumour	0.14605231842794497	0.015591830239385082	0.000461538461538	0.999538461538	0.000461538461538	0.006	1.0	0.006
lung.carcinoma.non_small_cell_carcinoma	0.1359044109801284	0.008383498036168297	0.002	0.998	0.002	0.0215384615385	1.0	0.0215384615385
rhabdoid_tumour	0.13561035801288987	0.0335677641547416	0.00215384615385	0.997846153846	0.00215384615385	0.0215384615385	1.0	0.0215384615385
soft_tissue.rhabdoid_tumour.NS	0.13561035801288987	0.0335677641547416	0.00215384615385	0.997846153846	0.00215384615385	0.0215384615385	1.0	0.0215384615385
oesophagus	0.1268670052728861	0.04276253009446757	0.00307692307692	0.996923076923	0.00307692307692	0.028	1.0	0.028
oesophagus.carcinoma.squamous_cell_carcinoma	0.1261435703345689	0.04010159384473058	0.00323076923077	0.996769230769	0.00323076923077	0.028	1.0	0.028
ovary.carcinoma.endometrioid_carcinoma	0.11515431280012402	0.027402763117434052	0.00753846153846	0.992461538462	0.00753846153846	0.06125	1.0	0.06125
soft_tissue	0.11136465602957957	0.03475819556404905	0.0101538461538	0.989846153846	0.0101538461538	0.0776470588235	1.0	0.0776470588235
kidney.carcinoma.renal_cell_carcinoma	0.10738262570938362	0.03629878785298805	0.0175384615385	0.982461538462	0.0175384615385	0.126666666667	1.0	0.126666666667
liver	0.10390182220304388	0.024506694704508173	0.0212307692308	0.978769230769	0.0212307692308	0.14	1.0	0.14
prostate.carcinoma.adenocarcinoma	0.10335892946409568	0.02430419295893392	0.0221538461538	0.977846153846	0.0221538461538	0.14	1.0	0.14
liver.carcinoma.hepatocellular_carcinoma	0.10304149216920619		0.0226153846154	0.977384615385	0.0226153846154	0.14	1.0	0.14
ovary.carcinoma.serous_carcinoma	0.09819584635453572		0.0341538461538	0.965846153846	0.0341538461538	0.201818181818	1.0	0.201818181818
prostate	0.0972708213572395		0.0366153846154	0.963384615385	0.0366153846154	0.206956521739	1.0	0.206956521739
soft_tissue.rhabdomyosarcoma.NS	0.09523754002170427		0.0424615384615	0.957538461538	0.0424615384615	0.23	1.0	0.23
ovary.carcinoma.clear_cell_carcinoma	0.09400086582973194		0.0456923076923	0.954307692308	0.0456923076923	0.2376	1.0	0.2376
ovary.carcinoma.NS	0.09144857812976316		0.0546153846154	0.945384615385	0.0546153846154	0.256428571429	1.0	0.256428571429
sarcoma	0.0911661923356627		0.0552307692308	0.944769230769	0.0552307692308	0.256428571429	1.0	0.256428571429
soft_tissue.sarcoma.NS	0.0911661923356627		0.0552307692308	0.944769230769	0.0552307692308	0.256428571429	1.0	0.256428571429
ovary.sex_cord-stromal_tumour.granulosa_cell_tumour	0.08955966229821614		0.0613846153846	0.938615384615	0.0613846153846	0.266	1.0	0.266
sex_cord-stromal_tumour	0.08955966229821614		0.0613846153846	0.938615384615	0.0613846153846	0.266	1.0	0.266
endometrium.carcinoma.NS	0.0817349876568482		0.108615384615	0.891384615385	0.108615384615	0.455483870968	1.0	0.455483870968
breast.carcinoma.metaplastic_carcinoma	0.07847323270503095		0.129538461538	0.870461538462	0.129538461538	0.513939393939	1.0	0.513939393939
endometrium.carcinoma.mixed_adenosquamous_carcinoma	0.07831588997469192		0.130461538462	0.869538461538	0.130461538462	0.513939393939	1.0	0.513939393939
soft_tissue.rhabdomyosarcoma.alveolar	0.07514317039585142		0.163230769231	0.836769230769	0.163230769231	0.624117647059	1.0	0.624117647059
stomach.carcinoma.undifferentiated_adenocarcinoma	0.07459739082694779		0.168923076923	0.831076923077	0.168923076923	0.627428571429	1.0	0.627428571429
lung.carcinoma.NS	0.07011765444802597		0.209230769231	0.790769230769	0.209230769231	0.732340425532	1.0	0.732340425532
central_nervous_system.glioma.oligodendroglioma	0.06952942507273556		0.215692307692	0.784307692308	0.215692307692	0.732340425532	1.0	0.732340425532
