	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
BRD-K01737880	-0.4043994121804169	0.025292713567831766	0.999417879418	0.000582120582121	0.000582120582121	0.999417879418	0.19	0.19
dasatinib	-0.40169558577414927	0.013435940057471734	0.99920997921	0.000790020790021	0.000790020790021	0.999417879418	0.19	0.19
VX-680	-0.3968688093976588	0.02427377587776607	0.998627858628	0.00137214137214	0.00137214137214	0.999417879418	0.22	0.22
ruxolitinib	-0.3923176059924131	0.010358734381750794	0.998128898129	0.0018711018711	0.0018711018711	0.999417879418	0.225	0.225
neopeltolide	-0.3804527116367049	0.025400998607474096	0.996923076923	0.00307692307692	0.00307692307692	0.999417879418	0.296	0.296
BRD-K13999467	-0.3560880713221037	0.0452611338531325	0.991767151767	0.00823284823285	0.00823284823285	0.999417879418	0.502222222222	0.502222222222
968	-0.35361105724302605	0.06479518930163702	0.990935550936	0.00906444906445	0.00906444906445	0.999417879418	0.502222222222	0.502222222222
isoliquiritigenin	-0.3534913454756844	0.1104071538851685	0.990935550936	0.00906444906445	0.00906444906445	0.999417879418	0.502222222222	0.502222222222
JW-55	-0.35240863628611907	0.10185477267994604	0.990602910603	0.00939708939709	0.00939708939709	0.999417879418	0.502222222222	0.502222222222
YM-155	-0.3442411826817143	0.014797316994663984	0.987442827443	0.0125571725572	0.0125571725572	0.999417879418	0.506923076923	0.506923076923
SGX-523	-0.33947860412448905	0.011113102295436064	0.985114345114	0.0148856548857	0.0148856548857	0.999417879418	0.506923076923	0.506923076923
fluvastatin	-0.33817989532388915	0.013734449888872305	0.984906444906	0.0150935550936	0.0150935550936	0.999417879418	0.506923076923	0.506923076923
birinapant	-0.33742483767775144	0.0702240598769683	0.984449064449	0.0155509355509	0.0155509355509	0.999417879418	0.506923076923	0.506923076923
lovastatin	-0.3358153979466141	0.009243918018662173	0.983742203742	0.0162577962578	0.0162577962578	0.999417879418	0.506923076923	0.506923076923
BRD-K29086754	-0.3331439991173629	0.11281614050007456	0.982245322245	0.0177546777547	0.0177546777547	0.999417879418	0.506923076923	0.506923076923
avicin D	-0.33186002318790553	0.03594981268215584	0.981621621622	0.0183783783784	0.0183783783784	0.999417879418	0.506923076923	0.506923076923
IC-87114	-0.33078847578729575	0.012853759031848485	0.981081081081	0.0189189189189	0.0189189189189	0.999417879418	0.506923076923	0.506923076923
SR1001	-0.3285055705673196	0.04119508485057048	0.979501039501	0.020498960499	0.020498960499	0.999417879418	0.506923076923	0.506923076923
chlorambucil	-0.3228988665113563	0.014514398556224788	0.975426195426	0.0245738045738	0.0245738045738	0.999417879418	0.506923076923	0.506923076923
staurosporine	-0.32160929586265097	0.041274701836384	0.974303534304	0.0256964656965	0.0256964656965	0.999417879418	0.506923076923	0.506923076923
simvastatin	-0.32144966603115116		0.974012474012	0.0259875259875	0.0259875259875	0.999417879418	0.506923076923	0.506923076923
SB-431542	-0.3214269291219312		0.974012474012	0.0259875259875	0.0259875259875	0.999417879418	0.506923076923	0.506923076923
zebularine	-0.3213214564014304		0.973970893971	0.0260291060291	0.0260291060291	0.999417879418	0.506923076923	0.506923076923
IU1	-0.32124136559102856		0.973970893971	0.0260291060291	0.0260291060291	0.999417879418	0.506923076923	0.506923076923
XL765	-0.31949010016651475		0.97264033264	0.0273596673597	0.0273596673597	0.999417879418	0.506923076923	0.506923076923
BRD9647	-0.31943798877821794		0.972598752599	0.0274012474012	0.0274012474012	0.999417879418	0.506923076923	0.506923076923
BMS-195614	-0.31729491856695424		0.971185031185	0.028814968815	0.028814968815	0.999417879418	0.513333333333	0.513333333333
itraconazole	-0.31354171112387086		0.968316008316	0.031683991684	0.031683991684	0.999417879418	0.544285714286	0.544285714286
CIL41	-0.30826826633409604		0.962910602911	0.0370893970894	0.0370893970894	0.999417879418	0.615172413793	0.615172413793
MGCD-265	-0.30555237036990895		0.960083160083	0.0399168399168	0.0399168399168	0.999417879418	0.624090909091	0.624090909091
pazopanib	-0.3045442846722646		0.958918918919	0.0410810810811	0.0410810810811	0.999417879418	0.624090909091	0.624090909091
imatinib	-0.302965038792709		0.957297297297	0.0427027027027	0.0427027027027	0.999417879418	0.624090909091	0.624090909091
QS-11	-0.30245451415653296		0.956632016632	0.043367983368	0.043367983368	0.999417879418	0.624090909091	0.624090909091
NSC48300	-0.30068292251234036		0.953513513514	0.0464864864865	0.0464864864865	0.999417879418	0.624090909091	0.624090909091
