	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
CTNNB1	-0.7160082417787468	0.010489918742608817	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
ADSL	-0.6910775178051417	0.014479443037987748	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
PFAS	-0.5937235639697742	0.01391693475771574	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
RBM47	-0.580705968740722	0.01341791255194074	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
KRAS	-0.5753965240541764	0.02407950127149497	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
RAB10	-0.569627504111517	0.014384748089200167	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
FOXA1	-0.5654981641977059	0.01878903202777049	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
HNF4A	-0.5584116970912996	0.01534236671185209	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
PIK3CA	-0.5549380733502025	0.019280335683930765	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
BCL9L	-0.5473655174516042	0.014704007488241293	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
ISCA2	-0.539164263468136	0.02998998337774083	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
RAB6A	-0.5387786966982069	0.019671604560361437	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
WNK1	-0.5301884380326425	0.012414497845390782	1.0	1.1714402858314298e-06	1.1714402858314298e-06	1.0	0.0007407407407407408	0.0007407407407407408
BIRC5	-0.5289120886896095	0.014121013250114244	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.0007407407407407408	0.0007407407407407408
COPE	-0.5236960787986967	0.018167942455395266	0.99999882856	1.17144028583e-06	1.17144028583e-06	1.0	0.0007407407407407408	0.0007407407407407408
