	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
GROGER_EMT_UP	0.929333525489232	0.0019922642548817256	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BROWNE_HCMV_INFECTION_18HR_DN	0.9233292048064621	0.002221561383018361	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.9198502384093102	0.0024033014216393884	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.9181560076688577	0.00296642120181172	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BROWNE_HCMV_INFECTION_48HR_DN	0.9159884035391305	0.003490327945573023	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
CHICAS_RB1_TARGETS_CONFLUENT	0.9159300106094066	0.002866461089197987	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
ONDER_CDH1_TARGETS_2_UP	0.914756495200492	0.0022998115835995182	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.9142119025362863	0.002642718090356829	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.9138607276197362	0.0023593960442155537	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
TAUBE_EMT_UP	0.9136124539236956	0.002645754247618847	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BROWNE_HCMV_INFECTION_24HR_DN	0.9097498879146402	0.0027881585041047018	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.9090242225810861	0.0027960409353958767	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
HALLMARK_UV_RESPONSE_DN	0.9077214133515695	0.0023278207457773452	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_DUCTAL_NORMAL_UP	0.904408507966352	0.0031235413181709775	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
ANASTASSIOU_CANCER_MESENCHYMAL_TRANSITION_SIGNATURE	0.9031336463995135	0.003290443132295215	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
NAKAMURA_ADIPOGENESIS_EARLY_DN	0.8971137158648871	0.00378804830202916	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
CLASPER_LYMPHATIC_VESSELS_DURING_METASTASIS_DN	0.8967685955819693	0.003026480735215709	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BROWNE_HCMV_INFECTION_20HR_DN	0.8967444011008212	0.0030525193602265474	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	0.8967299384200591	0.0033433364661247227	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
LINDGREN_BLADDER_CANCER_CLUSTER_2B	0.8965754875871585	0.003705617539442744	2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
LINDGREN_BLADDER_CANCER_HIGH_RECURRENCE	0.8948142456810033		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
GU_PDEF_TARGETS_UP	0.8924992126247353		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
ROY_WOUND_BLOOD_VESSEL_UP	0.8922699524088564		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_DN	0.8915257925709587		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE	0.8909844174058577		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_DN	0.8900563697340871		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
GENTILE_UV_LOW_DOSE_DN	0.889543912587337		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
NAKAMURA_ADIPOGENESIS_LATE_DN	0.8893967114713948		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BOQUEST_STEM_CELL_UP	0.8864456639105991		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
VECCHI_GASTRIC_CANCER_ADVANCED_VS_EARLY_UP	0.8863796773432078		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
RODWELL_AGING_KIDNEY_NO_BLOOD	0.8862693257175274		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
ZHU_CMV_24_HR_DN	0.8850227439960363		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
KONDO_EZH2_TARGETS	0.8843403969195697		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
CROONQUIST_STROMAL_STIMULATION_UP	0.8843290674417678		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	0.8840618576755893		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
LINDVALL_IMMORTALIZED_BY_TERT_DN	0.8840003575108653		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
RODWELL_AGING_KIDNEY_NO_BLOOD_UP	0.8837362314195282		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BURTON_ADIPOGENESIS_PEAK_AT_0HR	0.8834452528910848		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
WANG_CISPLATIN_RESPONSE_AND_XPC_DN	0.8828648848721438		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BROWNE_HCMV_INFECTION_16HR_DN	0.8811350586790943		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	0.8810609843326789		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
ZHU_CMV_ALL_DN	0.8807171218151286		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
JEON_SMAD6_TARGETS	0.8794174132051148		2.6208884811951253e-06	1.0	2.6208884811951253e-06	5.608524957936063e-06	1.0	5.608524957936063e-06
