	score	0.95 moe	p-value (forward)	p-value (reverse)	p-value	fdr (forward)	fdr (reverse)	fdr
PAI-1-M-E	0.7386037328952288	0.010680581278860918	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Caveolin-1-R-V	0.6801028736077264	0.01125641127114173	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
PKC-alpha-M-V	0.6673106357363352	0.008928137938380027	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
PKC-alpha_pS657-R-C	0.6592149082431833	0.007992558947490647	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Fibronectin-R-V	0.6303970220275429	0.012864230859221712	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
PEA15-R-V	0.5836217547974872	0.006185826724841767	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
TAZ-R-V	0.57468439265936	0.008159681965171235	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
FRA1_pS265-R-E	0.5612443046977814	0.01195942199033154	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
NF2-R-C	0.5378713906523722	0.011612264155198806	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
PKC-delta_pS664-R-V	0.5358036192215193	0.011601951331024315	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Myosin IIa pS1943-R-V	0.5336128518405526	0.010801423466057508	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
c-Jun_pS73-R-V	0.5310663962236872	0.010427589576157964	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
p21-R-V	0.5256925672016718	0.013042325512535312	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
N-Cadherin-R-V	0.5210847242554899	0.01328536341505045	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Paxillin-R-C	0.5067912350763375	0.010937426568322835	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Heregulin-R-V	0.4928876491260071	0.014919945148486935	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Transglutaminase-M-V	0.48658516785704964	0.0151526482809147	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
NF-kB-p65_pS536-R-C	0.48411360366675715	0.009824094403754981	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
Annexin 1-M-E	0.4746313446063362	0.007798184533487203	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
FRA1_pS265 Cleaved D22B1-R-E	0.4632886103096901	0.012204460504511664	8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
AR-R-V	0.46057160698709115		8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
YAP-R-E	0.43077656062150865		8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
MIG-6-M-V	0.4299185810298535		8.658008658008658e-05	1.0	8.658008658008658e-05	0.0008	1.0	0.0008
EGFR-R-V	0.4131325917943103		8.65800865801e-05	0.999913419913	8.65800865801e-05	0.0008	1.0	0.0008
Smad3-R-V	0.4071424289605996		8.65800865801e-05	0.999913419913	8.65800865801e-05	0.0008	1.0	0.0008
FRA1-R-E	0.40288035436742076		0.00034632034632	0.999653679654	0.00034632034632	0.00307692307692	1.0	0.00307692307692
Collagen_VI-R-V	0.3908055439363586		0.00121212121212	0.998787878788	0.00121212121212	0.01	1.0	0.01
PKC-pan_BetaII_pS660-R-V	0.3890764414527707		0.00121212121212	0.998787878788	0.00121212121212	0.01	1.0	0.01
MYH11-R-V	0.38873583100190245		0.0012987012987	0.998701298701	0.0012987012987	0.0103448275862	1.0	0.0103448275862
p14 Arf(BetA300-340A)-R-E	0.3863416258340049		0.00164502164502	0.998354978355	0.00164502164502	0.0126666666667	1.0	0.0126666666667
YAP_pS127-R-E	0.38293986956874987		0.00207792207792	0.997922077922	0.00207792207792	0.0154838709677	1.0	0.0154838709677
beta Actin-R-E	0.37173473336316154		0.00354978354978	0.99645021645	0.00354978354978	0.025625	1.0	0.025625
VEGFR2-R-V	0.3687999211204598		0.00398268398268	0.996017316017	0.00398268398268	0.0278787878788	1.0	0.0278787878788
MAPK_pT202_Y204-R-V	0.3642462746013811		0.00441558441558	0.995584415584	0.00441558441558	0.03	1.0	0.03
Bad_pS112-R-V	0.3586292419577228		0.00562770562771	0.994372294372	0.00562770562771	0.0371428571429	1.0	0.0371428571429
G6PD-M-V	0.3529366522503037		0.00692640692641	0.993073593074	0.00692640692641	0.0444444444444	1.0	0.0444444444444
4E-BP1_pT70-R-V	0.3485339486800084		0.00805194805195	0.991948051948	0.00805194805195	0.048	1.0	0.048
YB-1-R-V	0.34790035220953885		0.00831168831169	0.991688311688	0.00831168831169	0.048	1.0	0.048
PREX1-R-E	0.347716810846172		0.00831168831169	0.991688311688	0.00831168831169	0.048	1.0	0.048
Snail-M-QC	0.3471563770769265		0.00831168831169	0.991688311688	0.00831168831169	0.048	1.0	0.048
p38 alpha MAPK-M-E	0.34522186066488164		0.00943722943723	0.990562770563	0.00943722943723	0.0531707317073	1.0	0.0531707317073
YB-1_pS102-R-V	0.3416101695397961		0.0103896103896	0.98961038961	0.0103896103896	0.0571428571429	1.0	0.0571428571429
