Name	C1						
PCDHAC2	0.259799497						
SLC16A2	0.202823997						
MCC	0.34001942						
GRIN2B	0.021474287						
IL7R	0.001726766						
NAP1L2	0.098154425						
HCN4	0.195207257						
PPEF2	0.026380504						
GPRC5B	0.308766982						
NR2F2	0.163399239						
RFPL4A	0.041715149						
NREP	0.389087343						
ULBP2	0.195183808						
DYNC2H1	0.203813061						
FRMD5	0.260282454						
IGSF11	0.222308635						
TRPV1	0.052316158						
CAMK4	0.374541417						
EPDR1	0.249710024						
TRIM38	3.00E-13						
EI24	0.732468601						
OGDHL	0.453625847						
CTIF	0.556158918						
ZC3H6	0.221341066						
MGAT4A	0.310774774						
SCAMP5	0.849808158						
CCDC141	0.04688653						
LOX	0.136724249						
TTC39A	0.165195735						
7SK	0.054452558						
GRIK5	0.477133997						
CCDC86	0.623058555						
PLEKHG1	0.120963251						
STYK1	0.152135917						
PLEKHG4B	0.422393871						
AKAP12	0.491964329						
RALGPS2	0.208945955						
CXCL16	5.03E-12						
SRPX2	2.20E-21						
SORBS1	0.24412773						
ARHGEF4	0.223199327						
RIMKLA	0.651450456						
AGBL5	0.597664614						
DNAJB2	0.496387672						
TMEM123	0.696010142						
TNFAIP2	0.176037755						
ALDH1A3	0.005297684						
PQLC3	0.038456607						
TMEM129	0.505377734						
CCDC84	0.423818868						
EPB41L1	0.264607825						
FAM196B	0.059012364						
LCP1	0.149299177						
ATP6AP1L	0.108458693						
HSF2BP	0.136567234						
SIPA1L2	0.504330237						
CTSH	0.022264159						
TMC6	0.096935942						
NEO1	0.495088403						
AC133785.1	0.038962839						
RP11-587D21.1	0.608165847						
ARL4C	0.553444899						
MAP4K1	0.190126233						
ARHGEF3	0.236334387						
RASSF2	0.189874144						
WTIP	6.28E-13						
DET1	0.241947964						
DLX5	0.548794904						
MBNL2	0.343832721						
ADAMTS15	0.055490726						
SEL1L3	0.394978591						
TRIM9	0.536397169						
NUPR1	0.096031338						
TMEM87B	0.198865497						
WFDC3	0.037979306						
ST3GAL5	0.302096968						
GNG4	1.060606468						
NPAS2	5.35E-21						
PPM1H	0.277439968						
AC005150.1	0.010548232						
KLHL25	0.361877516						
ADSSL1	0.222312827						
RP11-543B16.1	0.160046129						
LRRC4C	0.183745388						
CCDC36	0.012763451						
B9D1	0.273910393						
TMEM218	0.346638898						
GSS	0.618057348						
PHLPP1	0.371848886						
DPYSL5	0.976433913						
ENGASE	0.363479746						
MAP7	0.420946232						
PIGP	0.462404419						
RBM7	0.069842722						
LGALS3BP	0.684297593						
VASH1	0.411626594						
POU6F2-AS2	0.093202775						
C11orf45	0.115940959						
CLSTN3	0.503232897						
ITGB2	0.000301743						
KIF5C	0.973803738						
CPEB1	0.121756663						
SQLE	0.789315904						
GSTO2	0.055308978						
FAM127C	0.576037104						
FIG4	0.42344206						
VMA21	0.536655187						
ENOX1	0.343797003						
RP11-620J15.1	0.071482119						
DHTKD1	0.471759461						
COLEC12	0.08259797						
MSRB3	6.54E-21						
IRF5	0.099529068						
TESPA1	0.027064058						
SLC25A45	0.200160001						
MICALL2	0.130535795						
OPRL1	0.215937517						
FNDC5	0.482797971						
GS1-358P8.4	0.35160605						
PCDHAC1	0.25442866						
GNG2	0.562091386						
CTNND2	0.320282129						
MBOAT2	0.586100623						
PDE4B	0.142594452						
TBC1D19	0.2419218						
DYNC1I1	0.399432045						
ESR2	0.105822458						
SESN3	0.5753552						
TEAD2	0.000172626						
PLA2R1	1.56E-21						
FDFT1	0.777104915						
IFI44	0.029263068						
HSBP1L1	0.048898485						
IDH2	0.796763503						
SERPINA3	9.87E-22						
MDGA1	0.232418577						
STAC2	0.166149562						
RPL35A	0.816150942						
PANX1	0.586828178						
HOXA13	0.102549889						
DPAGT1	0.553323541						
ZDHHC1	0.156789059						
EDEM2	0.182145704						
SDHD	0.610946287						
KSR1	0.349879051						
C1QTNF2	0.086534636						
FDXR	0.303123799						
FUCA1	0.162632021						
RP11-283G6.3	0.010980224						
LRRC63	0.09453063						
CCDC121	0.210993862						
