Name	C6
PCDHAC2	0.015889134
SLC16A2	0.038983759
MCC	0.594109272
GRIN2B	0.066494914
IL7R	0.193099658
NAP1L2	0.058034259
HCN4	1.72E-21
PPEF2	0.007778829
GPRC5B	0.52746562
NR2F2	0.327772685
RFPL4A	0.044812022
NREP	0.075979932
ULBP2	0.306507535
DYNC2H1	0.217901218
FRMD5	0.546931885
IGSF11	0.374005746
TRPV1	0.045143027
CAMK4	0.257101671
EPDR1	0.697649709
TRIM38	0.485818164
EI24	0.727145738
OGDHL	0.120382095
CTIF	0.193368273
ZC3H6	0.147985198
MGAT4A	0.120546703
SCAMP5	0.282308391
CCDC141	0.051774687
LOX	0.064815023
TTC39A	0.11605272
7SK	0.141998827
GRIK5	0.027507617
CCDC86	0.713906911
PLEKHG1	0.254265483
STYK1	0.069943925
PLEKHG4B	8.35E-21
AKAP12	0.625352735
RALGPS2	0.329028182
CXCL16	0.267435865
SRPX2	0.19582271
SORBS1	0.427852065
ARHGEF4	0.104344327
RIMKLA	0.134127558
AGBL5	0.481081392
DNAJB2	0.536272976
TMEM123	0.668790677
TNFAIP2	0.105492937
ALDH1A3	0.717214423
PQLC3	0.338150292
TMEM129	0.467468827
CCDC84	0.22028519
EPB41L1	0.174445279
FAM196B	0.037332096
LCP1	0.402580854
ATP6AP1L	0.106292114
HSF2BP	0.133860115
SIPA1L2	0.589416911
CTSH	0.580949837
TMC6	0.566319071
NEO1	0.268903489
AC133785.1	0.034712425
RP11-587D21.1	0.59129236
ARL4C	0.370834804
MAP4K1	0.093489188
ARHGEF3	0.332230984
RASSF2	0.147249857
WTIP	0.137313711
DET1	0.300119089
DLX5	0.21156234
MBNL2	0.56894054
ADAMTS15	0.065725673
SEL1L3	0.221769828
TRIM9	0.364503518
NUPR1	0.318555035
TMEM87B	0.490169646
WFDC3	0.104274372
ST3GAL5	0.620509569
GNG4	0.22218597
NPAS2	0.700580309
PPM1H	0.244427387
AC005150.1	0.022754983
KLHL25	0.235117192
ADSSL1	0.183339282
RP11-543B16.1	0.278763936
LRRC4C	0.005835299
CCDC36	0.111907435
B9D1	0.313241797
TMEM218	0.35192588
GSS	0.761783731
PHLPP1	0.358543136
DPYSL5	0.054572346
ENGASE	0.372622961
MAP7	0.092919305
PIGP	0.521903583
RBM7	0.059952958
